ticker,company_name,industry,industry_zh,broad_industry,broad_industry_zh,year,is_financial_sector,revenue,cogs,gross_profit,operating_income,net_income,interest_expense,total_assets,total_liabilities,total_equity,current_assets,current_liabilities,cash_and_equivalents,accounts_receivable,inventory,retained_earnings,market_value_equity,operating_cash_flow
2330,台積電,semiconductors,半導體,manufacturing,製造業,2020,False,1339.0,642.53,696.47,647.61,500.22,6.817,2492.15,734.99,1757.16,844.82,393.13,500.84,178.88,147.5,1286.15,3327.18,773.12
2330,台積電,semiconductors,半導體,manufacturing,製造業,2021,False,1574.67,729.64,845.03,606.08,670.4,6.38,2902.21,773.48,2128.74,846.52,397.07,478.1,186.28,165.62,1387.28,4366.2,766.36
2330,台積電,semiconductors,半導體,manufacturing,製造業,2022,False,2096.81,986.92,1109.89,845.95,812.36,8.905,3746.13,1182.61,2563.52,1406.25,673.06,941.79,263.53,229.21,1903.33,5743.73,1107.99
2330,台積電,semiconductors,半導體,manufacturing,製造業,2023,False,2388.71,1134.32,1254.39,972.57,880.86,10.238,4011.9,1271.98,2739.93,1532.57,689.0,973.64,244.41,250.25,2011.99,6442.65,897.64
2330,台積電,semiconductors,半導體,manufacturing,製造業,2024,False,3210.21,1620.95,1589.26,1330.93,1301.79,14.01,5800.14,1867.42,3932.72,2203.7,1028.15,1553.73,398.15,358.06,2704.2,8575.61,1510.96
2412,中華電,telecom,電信服務,services,服務業,2020,False,207.0,132.52,74.48,42.19,30.52,0.527,455.47,128.39,327.08,72.66,71.15,40.51,23.61,6.02,226.06,654.87,53.79
2412,中華電,telecom,電信服務,services,服務業,2021,False,208.77,136.21,72.56,40.06,29.88,0.501,440.24,131.93,308.32,94.93,77.46,52.64,24.1,5.32,247.44,695.78,48.67
2412,中華電,telecom,電信服務,services,服務業,2022,False,210.22,135.31,74.91,42.49,29.23,0.531,456.12,147.24,308.88,82.29,76.52,52.33,23.75,4.92,221.07,617.54,48.33
2412,中華電,telecom,電信服務,services,服務業,2023,False,211.38,135.99,75.39,44.63,34.55,0.558,481.06,142.79,338.27,74.24,71.29,41.43,20.78,6.32,226.32,668.11,54.39
2412,中華電,telecom,電信服務,services,服務業,2024,False,212.84,132.1,80.74,45.78,29.71,0.572,481.89,127.22,354.67,79.69,72.25,52.98,22.94,5.54,245.48,775.08,54.11
2882,國泰金,financial_holding,金融控股,financials,金融業,2020,True,670.0,,,110.71,88.57,,14159.29,13112.97,1046.31,,,1132.74,,,627.79,1255.58,65.95
2882,國泰金,financial_holding,金融控股,financials,金融業,2021,True,699.41,,,114.51,91.61,,16040.33,15087.36,952.97,,,1283.23,,,571.78,1143.56,91.85
2882,國泰金,financial_holding,金融控股,financials,金融業,2022,True,728.55,,,136.29,109.03,,17841.28,16656.43,1184.85,,,1427.3,,,710.91,1421.82,104.02
2882,國泰金,financial_holding,金融控股,financials,金融業,2023,True,759.83,,,132.79,106.23,,19219.21,18038.56,1180.65,,,1537.54,,,708.39,1416.79,82.7
2882,國泰金,financial_holding,金融控股,financials,金融業,2024,True,781.82,,,122.59,98.08,,13767.16,12652.11,1115.04,,,1101.37,,,669.03,1338.05,110.28
2891,中信金,financial_holding,金融控股,financials,金融業,2020,True,175.0,,,55.05,44.04,,5621.6,5205.99,415.6,,,449.73,,,249.36,498.72,44.22
2891,中信金,financial_holding,金融控股,financials,金融業,2021,True,181.85,,,65.77,52.62,,6986.04,6558.03,428.01,,,558.88,,,256.81,513.61,59.64
2891,中信金,financial_holding,金融控股,financials,金融業,2022,True,188.6,,,77.99,62.39,,10185.74,9480.09,705.66,,,814.86,,,423.39,846.79,75.08
2891,中信金,financial_holding,金融控股,financials,金融業,2023,True,199.11,,,83.25,66.6,,10076.28,9521.49,554.79,,,806.1,,,332.88,665.75,93.82
2891,中信金,financial_holding,金融控股,financials,金融業,2024,True,205.02,,,79.71,63.77,,9064.81,8471.01,593.8,,,725.18,,,356.28,712.56,64.91
2912,統一超,retail,零售通路,services,服務業,2020,False,271.0,179.45,91.55,12.79,10.31,0.581,165.37,108.17,57.21,46.94,54.14,23.87,5.83,12.39,37.32,112.34,18.32
2912,統一超,retail,零售通路,services,服務業,2021,False,284.36,183.91,100.45,12.03,11.37,0.547,168.45,118.67,49.78,58.57,61.86,28.89,5.29,12.42,32.74,99.58,17.02
2912,統一超,retail,零售通路,services,服務業,2022,False,297.9,191.66,106.24,13.52,11.7,0.615,173.05,116.16,56.89,57.03,67.77,35.26,6.33,12.67,40.41,113.46,21.15
2912,統一超,retail,零售通路,services,服務業,2023,False,314.66,211.56,103.1,14.11,11.77,0.641,177.89,120.98,56.91,56.23,66.97,28.03,6.66,15.32,36.99,119.99,17.78
2912,統一超,retail,零售通路,services,服務業,2024,False,334.67,219.57,115.11,13.6,12.34,0.618,189.31,109.8,79.51,49.56,62.14,26.32,7.88,16.07,51.91,175.0,18.61
